borough,communitydistrict,waste type,month,quantity
Bronx,7,mgp,2,359.1
Bronx,7,other organics,2,0
Bronx,7,paper,2,250.2
Bronx,7,refuse,2,3370.5
Bronx,7,res organics,2,4.2
Bronx,7,school organic,2,33.4
Bronx,7,xmastree,2,0
Bronx,8,leaves organic,2,0
Bronx,8,mgp,2,290.4
Bronx,8,other organics,2,1
Bronx,8,paper,2,242.7
Bronx,8,refuse,2,2013.5
Bronx,8,res organics,2,43.7
Bronx,8,school organic,2,0
Bronx,8,xmastree,2,0
Bronx,9,leaves organic,2,0
Bronx,9,mgp,2,304.2
Bronx,9,other organics,2,0
Bronx,9,paper,2,187.3
Bronx,9,refuse,2,3180.4
Bronx,9,res organics,2,17
Bronx,9,school organic,2,0
Bronx,9,xmastree,2,0
Bronx,1,leaves organic,3,0
Bronx,1,mgp,3,133.4
Bronx,1,other organics,3,0
Bronx,1,paper,3,245.7
Bronx,1,refuse,3,3348.8
Bronx,1,res organics,3,7.6
Bronx,1,school organic,3,95
Bronx,1,xmastree,3,0
Bronx,10,leaves organic,3,0
Bronx,10,mgp,3,309.2
Bronx,10,other organics,3,0
Bronx,10,paper,3,270.6
Bronx,10,refuse,3,2506.7
Bronx,10,res organics,3,51
Bronx,10,school organic,3,54.4
Bronx,10,xmastree,3,0
Bronx,11,leaves organic,3,0
Bronx,11,mgp,3,292.2
Bronx,11,other organics,3,0
Bronx,11,paper,3,273.8
Bronx,11,refuse,3,3118.4
Bronx,11,res organics,3,45.9
Bronx,11,school organic,3,85.4
Bronx,11,xmastree,3,0
Bronx,12,leaves organic,3,0
Bronx,12,mgp,3,518.8
Bronx,12,other organics,3,0
Bronx,12,paper,3,290.2
Bronx,12,refuse,3,3792.6
Bronx,12,res organics,3,73.2
Bronx,12,school organic,3,0
Bronx,12,xmastree,3,0
Bronx,2,leaves organic,3,0
Bronx,2,mgp,3,188
Bronx,2,other organics,3,0
Bronx,2,paper,3,216.4
Bronx,2,refuse,3,7875.2
Bronx,2,res organics,3,2.5
Bronx,2,school organic,3,0
Bronx,2,xmastree,3,0
Bronx,3,leaves organic,3,0
Bronx,3,mgp,3,139.2
Bronx,3,other organics,3,0
Bronx,3,paper,3,145.4
Bronx,3,refuse,3,2243.5
Bronx,3,res organics,3,4.6
Bronx,3,school organic,3,98.2
Bronx,3,xmastree,3,0
Bronx,4,leaves organic,3,0
Bronx,4,mgp,3,300
Bronx,4,other organics,3,0
Bronx,4,paper,3,258.5
Bronx,4,refuse,3,4102.8
Bronx,4,res organics,3,7.6
Bronx,4,school organic,3,67
Bronx,4,xmastree,3,0
Bronx,5,leaves organic,3,0
Bronx,5,mgp,3,312.8
Bronx,5,other organics,3,0
Bronx,5,paper,3,233.2
Bronx,5,refuse,3,3487.9
Bronx,5,res organics,3,7.4
Bronx,5,school organic,3,77.1
Bronx,5,xmastree,3,0
Bronx,6,leaves organic,3,0
Bronx,6,mgp,3,169
Bronx,6,other organics,3,0
Bronx,6,paper,3,190.2
Bronx,6,refuse,3,3272.7
Bronx,6,res organics,3,3.6
Bronx,6,school organic,3,51.6
Bronx,6,xmastree,3,0
Bronx,7,leaves organic,3,0
Bronx,7,mgp,3,406.7
Bronx,7,other organics,3,0
Bronx,7,paper,3,290.6
Bronx,7,refuse,3,3843.5
Bronx,7,res organics,3,5.5
Bronx,7,school organic,3,46.5
Bronx,7,xmastree,3,0
Bronx,8,leaves organic,3,0
Bronx,8,mgp,3,317.1
Bronx,8,other organics,3,0
